StartDate,ExitDate,Title,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,TerminationType,TerminationDescription,DepartmentType,Division,DOB,State,JobFunctionDescription,GenderCode,LocationCode,RaceDesc,MaritalDesc,Performance Score,Current Employee Rating
22-Jun-20,13-Oct-25,Production Technician I,NEL,Active,Contract,Zone A,Full-Time,Involuntary,After draw carry north federal region recently.,Production       ,General - Eng,16-09-1949,MA,Supervisor,Female,9725,Asian,Married,PIP,4
16-Jun-21,26-Apr-25,Production Technician II,BPC,Leave of Absence,Contract,Zone B,Temporary,Retirement,Control store point.,Production       ,Splicing,20-03-1972,MA,Safety,Female,89324,Asian,Widowed,Fully Meets,5
10-Oct-21,23-Jun-20,Production Technician I,CCDR,Active,Contract,Zone B,Temporary,Retirement,Message firm social daughter third ready.,Production       ,Isp,20-06-1942,MA,Director,Male,40395,Asian,Divorced,Fully Meets,1
26-Nov-19,03-Jun-26,Database Administrator,BPC,Active,Contract,Zone B,Full-Time,Resignation,Sense station management factor.,IT/IS,General - Con,05-06-1986,MA,Clerk,Female,10597,Hispanic,Single,Fully Meets,3
07-Oct-21,15-Dec-24,Area Sales Manager,MSC,Active,Contract,Zone A,Temporary,Voluntary,Save interest factor training.,Sales,General - Con,02-04-1963,KY,Laborer,Male,52211,Other,Widowed,Fully Meets,5
03-Mar-23,16-Jul-27,Production Technician I,PYZ,Leave of Absence,Part-Time,Zone A,Full-Time,Voluntary,Some others lot miss land similar.,Production       ,Yard (Material Handling),23-05-1986,MA,Director,Female,5235,Asian,Widowed,Fully Meets,3
06-Feb-21,28-Feb-28,Production Technician I,SVG,Active,Contract,Zone B,Temporary,Involuntary,Material agency modern degree general.,Production       ,Wireline Construction,04-06-2001,MA,Driver,Male,7479,Black,Single,Exceeds,4
01-Jun-22,24-Jun-23,Area Sales Manager,PYZ,Active,Full-Time,Zone C,Part-Time,Involuntary,Create who sound worry ground.,Sales,Fielders,23-06-1969,AL,Vp,Male,66584,Asian,Married,Fully Meets,2
14-Dec-19,10-Apr-25,Production Technician I,EW,Future Start,Full-Time,Zone A,Full-Time,Retirement,Six agreement take. Newspaper back land health.,Production       ,Project Management - Con,15-06-1998,MA,Safety,Female,51158,Asian,Single,Fully Meets,4
06-Nov-20,11-Dec-22,BI Developer,SVG,Voluntarily Terminated,Part-Time,Zone B,Part-Time,Involuntary,Visit lawyer interesting.,IT/IS,Aerial,22-06-1951,MA,Lineman,Female,26567,White,Divorced,Fully Meets,3
16-Sep-18,30-Aug-19,Production Technician I,WBL,Terminated for Cause,Part-Time,Zone C,Full-Time,Retirement,Information step name three choose.,Production       ,Field Operations,07-03-1978,MA,Specialist,Female,70604,Other,Divorced,Fully Meets,2
13-Jul-21,17-Jul-26,Production Technician I,MSC,Future Start,Part-Time,Zone B,Full-Time,Voluntary,A discussion quite mission.,Production       ,Executive,30-09-1946,MA,Tester,Male,79501,Asian,Single,Fully Meets,4
31-Jul-22,26-Mar-20,Production Technician I,BPC,Active,Full-Time,Zone B,Part-Time,Resignation,Everybody list to. Green best stock yes happen.,Production       ,General - Sga,03-03-1944,MA,Administration,Female,35829,Black,Married,Exceeds,1
16-Oct-21,15-Jan-20,Sr. DBA,CCDR,Active,Contract,Zone A,Temporary,Retirement,If data from box movement bad service.,IT/IS,Technology / It,16-08-1978,MA,Executive Assistant,Male,95426,Asian,Single,Fully Meets,4
19-May-19,08-May-19,Production Technician II,PYZ,Leave of Absence,Contract,Zone A,Part-Time,Voluntary,Key real fill never sing feeling.,Production       ,Wireline Construction,20-01-1994,MA,Business Development,Male,32157,Other,Divorced,Fully Meets,5
25-Oct-21,31-Jan-26,Area Sales Manager,CCDR,Active,Full-Time,Zone A,Full-Time,Voluntary,True system strong often experience.,Sales,General - Sga,23-10-1985,AL,Assistant,Male,27510,Asian,Married,Fully Meets,2
30-Aug-20,26-Feb-25,Area Sales Manager,CCDR,Active,Contract,Zone B,Part-Time,Resignation,Organization above size discuss office.,Sales,Splicing,26-08-1967,AL,Project Controls,Female,65242,Asian,Widowed,Fully Meets,5
22-Sep-20,08-Oct-27,Production Technician I,SVG,Active,Full-Time,Zone C,Temporary,Retirement,Year color woman become year scene very.,Production       ,General - Con,19-08-1975,MA,Controller,Female,62310,Black,Divorced,Fully Meets,5
11-Oct-21,17-Jan-24,Production Technician I,MSC,Leave of Absence,Part-Time,Zone B,Full-Time,Resignation,Member space player.,Production       ,People Services,11-10-1946,MA,Attendant,Male,81060,Asian,Single,Fully Meets,5
09-Jun-23,18-Jul-23,CIO,CCDR,Future Start,Full-Time,Zone C,Full-Time,Voluntary,President site student thank community.,IT/IS,Wireless,04-03-1983,MA,Executive Assistant,Female,19360,White,Widowed,Fully Meets,3
12-Jan-20,02-Mar-25,President & CEO,SVG,Active,Full-Time,Zone B,Temporary,Voluntary,Audience board south. Per state model beat.,Executive Office,General - Con,24-05-1957,MA,Administrative,Female,77612,Asian,Divorced,Fully Meets,1
02-Mar-22,24-Jul-25,Production Technician II,SVG,Active,Part-Time,Zone C,Temporary,Voluntary,Else enjoy include expect.,Production       ,Engineers,18-08-1997,MA,Engineer,Male,67773,Asian,Single,Exceeds,3
12-Dec-20,22-May-23,Area Sales Manager,NEL,Active,Contract,Zone A,Full-Time,Involuntary,Suddenly myself debate official training three.,Sales,Splicing,07-10-1990,AL,Supervisor,Male,20731,Asian,Married,Fully Meets,5
22-Oct-22,22-Feb-28,Network Engineer,PYZ,Terminated for Cause,Part-Time,Zone A,Full-Time,Resignation,Work around personal cover reflect including.,Production       ,Isp,22-10-1966,MA,Engineer,Female,54625,White,Single,Fully Meets,5
08-Sep-19,18-Oct-23,BI Director,PYZ,Future Start,Contract,Zone B,Temporary,Resignation,Begin mind time similar night travel.,IT/IS,People Services,19-01-1951,MA,Laborer,Female,16252,Asian,Married,Needs Improvement,1
25-Jan-20,06-Jan-20,Production Technician I,SVG,Leave of Absence,Contract,Zone A,Temporary,Voluntary,Summer begin quickly.,Production       ,Field Operations,09-10-1955,MA,Top Hand,Male,39699,Black,Married,Fully Meets,1
23-Dec-20,28-Nov-24,Production Technician I,BPC,Leave of Absence,Full-Time,Zone B,Temporary,Resignation,Record your institution south stop play.,Production       ,Engineers,20-07-1992,MA,Tower Hand,Male,31655,Other,Widowed,Fully Meets,3
28-Dec-19,22-Mar-28,CIO,NEL,Terminated for Cause,Part-Time,Zone A,Part-Time,Resignation,Choose system picture one party decision.,IT/IS,Fielders,06-09-1971,MA,Foreman,Male,9866,Black,Single,Fully Meets,3
04-Apr-20,29-May-20,Sales Manager,PL,Active,Full-Time,Zone C,Temporary,Involuntary,Artist technology ever body provide today doctor.,Admin Offices,Catv,18-10-1973,MA,Electrician,Female,11917,Black,Single,Fully Meets,3
13-Jan-19,10-Aug-19,BI Developer,CCDR,Active,Part-Time,Zone A,Part-Time,Voluntary,Where forward evening huge cost share eat.,IT/IS,Project Management - Eng,15-08-1950,MA,Helper,Male,11060,Asian,Single,Fully Meets,3
24-Apr-21,18-Feb-19,Production Technician I,PYZ,Active,Contract,Zone B,Temporary,Involuntary,Much already above care than.,Production       ,Field Operations,13-10-1946,MA,Helper,Male,42083,White,Widowed,Fully Meets,2
18-Apr-19,13-Nov-23,IT Director,SVG,Leave of Absence,Contract,Zone A,Full-Time,Resignation,Sort blue time total.,IT/IS,Aerial,02-02-1967,MA,Laborer,Female,35230,Other,Married,Needs Improvement,3
12-Nov-22,18-Apr-21,Production Technician I,EW,Terminated for Cause,Part-Time,Zone A,Part-Time,Involuntary,Officer thus service.,Production       ,Aerial,08-03-1960,MA,Cfo,Female,84115,Asian,Single,Fully Meets,3
19-Jan-20,20-Jun-20,IT Manager - Support,PL,Leave of Absence,Contract,Zone A,Part-Time,Retirement,Nature here wrong why.,IT/IS,Wireline Construction,17-12-1946,MA,Assistant,Female,3656,Black,Single,Fully Meets,3
04-May-19,21-May-27,Production Technician I,EW,Terminated for Cause,Part-Time,Zone B,Temporary,Resignation,About allow court us.,Production       ,Field Operations,08-08-1993,MA,Planner,Male,31687,Other,Divorced,Fully Meets,3
06-Mar-23,06-Jan-27,Shared Services Manager,SVG,Active,Full-Time,Zone C,Part-Time,Retirement,Future where and.,IT/IS,Wireless,25-06-1972,MA,Billing,Male,72974,Asian,Divorced,Fully Meets,5
23-Jun-22,09-Nov-29,Production Technician II,TNS,Leave of Absence,Part-Time,Zone A,Part-Time,Retirement,Amount particular answer show.,Sales,Shop (Fleet),05-03-1968,MA,Laborer,Female,35589,Other,Widowed,Fully Meets,3
13-Jan-22,01-Mar-22,Production Technician I,NEL,Voluntarily Terminated,Part-Time,Zone A,Temporary,Resignation,Community probably bad day food place which loss.,Production       ,Field Operations,11-09-1941,MA,Laborer,Female,74451,Asian,Divorced,Fully Meets,3
20-Jul-19,28-Jul-19,IT Director,MSC,Active,Contract,Zone B,Temporary,Voluntary,Effort situation use necessary.,Software Engineering,Wireline Construction,21-07-1958,MA,Top Hand,Female,52818,White,Married,Fully Meets,3
29-May-22,22-May-20,Area Sales Manager,PYZ,Active,Full-Time,Zone C,Part-Time,Involuntary,Central baby moment benefit do.,Sales,People Services,12-07-1970,WA,Manager,Male,70243,Asian,Married,Fully Meets,2
11-Apr-23,22-May-25,Production Manager,PYZ,Active,Part-Time,Zone C,Part-Time,Retirement,Southern alone father state.,IT/IS,Finance & Accounting,15-04-1976,MA,Welder,Male,89837,White,Married,Fully Meets,5
21-Oct-18,10-Apr-25,IT Manager - Infra,CCDR,Active,Part-Time,Zone B,Full-Time,Voluntary,Guy ten dream. Thing he care series.,Software Engineering,Yard (Material Handling),21-08-1986,MA,Administrative,Female,14650,Black,Single,Fully Meets,3
05-Mar-20,04-Feb-26,Production Technician II,MSC,Active,Contract,Zone C,Full-Time,Voluntary,Design laugh top music policy.,Production       ,Field Operations,04-04-1948,MA,Laborer,Female,37037,Asian,Divorced,Needs Improvement,1
06-Nov-18,13-Apr-25,IT Manager - DB,NEL,Active,Contract,Zone C,Part-Time,Involuntary,Sense activity son. One radio Mr method shoulder.,Executive Office,Field Operations,12-06-1963,MA,Billing,Male,29673,Hispanic,Married,Fully Meets,3
25-Jan-21,20-Apr-23,Production Technician II,TNS,Active,Part-Time,Zone B,Temporary,Resignation,Majority executive plan imagine.,Production       ,General - Eng,12-05-1984,MA,Controller,Female,5228,Asian,Married,Fully Meets,3
06-Oct-22,04-Jun-24,Area Sales Manager,TNS,Active,Full-Time,Zone B,Full-Time,Retirement,Too former relationship risk.,Sales,General - Con,09-01-1948,ND,Foreman,Male,92476,White,Widowed,Fully Meets,2
21-May-22,21-Nov-27,Production Technician I,EW,Active,Contract,Zone B,Part-Time,Retirement,Once type here really.,Production       ,Technology / It,26-09-1959,MA,Laborer,Male,63522,Hispanic,Widowed,Fully Meets,4
18-Aug-21,09-Nov-22,Production Technician I,PYZ,Active,Contract,Zone A,Full-Time,Voluntary,Direction west appear son school anything.,Production       ,Field Operations,18-07-1944,MA,Laborer,Female,16749,Other,Married,Fully Meets,2
02-Apr-22,29-May-23,Production Technician I,SVG,Active,Part-Time,Zone B,Temporary,Retirement,North help rock stage someone book.,Production       ,Aerial,10-08-1993,MA,Foreman,Female,32943,Hispanic,Widowed,Exceeds,5
14-Sep-18,03-Oct-21,BI Developer,MSC,Voluntarily Terminated,Full-Time,Zone A,Temporary,Involuntary,Brother election movie born enough.,IT/IS,Field Operations,22-04-1992,MA,Business Development,Female,22495,Asian,Divorced,Fully Meets,4
29-Apr-23,09-Dec-27,Sr. Network Engineer,SVG,Active,Full-Time,Zone B,Full-Time,Involuntary,Hour range a country focus.,Admin Offices,Field Operations,22-04-1947,MA,Laborer,Female,94795,Black,Single,Fully Meets,3
06-Jun-21,06-Feb-22,Network Engineer,BPC,Active,Full-Time,Zone B,Temporary,Involuntary,Audience deal cost figure student might let.,IT/IS,Field Operations,11-04-1977,MA,Accounting,Male,5024,Other,Divorced,Exceeds,3
17-Nov-22,03-Apr-22,Area Sales Manager,CCDR,Active,Part-Time,Zone A,Full-Time,Retirement,Late least forward bill realize camera.,Sales,Splicing,26-08-1996,MT,Engineer,Male,51258,Asian,Married,Fully Meets,4
07-Oct-18,16-Oct-23,Shared Services Manager,WBL,Leave of Absence,Contract,Zone B,Full-Time,Voluntary,Baby still now positive traditional head while.,Sales,Wireline Construction,19-04-1990,AL,Controller,Female,12837,Other,Widowed,Fully Meets,3
12-May-21,14-Mar-26,Sr. Network Engineer,EW,Future Start,Full-Time,Zone B,Part-Time,Resignation,Lead throw others.,IT/IS,Project Management - Eng,04-12-1967,MA,Executive,Female,93217,Hispanic,Widowed,PIP,2
10-Feb-20,28-Feb-23,Production Technician I,EW,Voluntarily Terminated,Full-Time,Zone C,Temporary,Retirement,Establish fear recently owner.,Production       ,Field Operations,03-11-1976,MA,Billing,Female,24649,Other,Widowed,Fully Meets,3
17-Jul-21,30-Jun-23,Shared Services Manager,WBL,Active,Part-Time,Zone C,Temporary,Involuntary,Item type author pick set read style.,Production       ,Isp,06-11-1943,MA,Laborer,Male,65359,Asian,Single,Fully Meets,1
24-Oct-21,24-Oct-19,Production Technician I,PYZ,Voluntarily Terminated,Part-Time,Zone A,Temporary,Involuntary,Positive far win six might.,Production       ,Field Operations,30-12-1985,MA,Driller,Male,6551,Hispanic,Single,Exceeds,1
04-Jul-22,10-Mar-22,Production Manager,MSC,Terminated for Cause,Full-Time,Zone B,Part-Time,Resignation,Pretty he matter south treat benefit.,Production       ,Finance & Accounting,13-10-1969,MA,Project Coordinator,Female,3436,Black,Married,Fully Meets,5
17-Dec-22,26-Nov-23,Sr. DBA,EW,Active,Part-Time,Zone B,Full-Time,Involuntary,Health American identify meeting.,Software Engineering,Engineers,10-10-1969,MA,Engineer,Male,86927,Asian,Married,Fully Meets,3
11-Jan-22,19-Nov-28,Production Technician II,PL,Active,Part-Time,Zone B,Temporary,Involuntary,Member space player.,Production       ,Field Operations,11-03-1976,MA,Laborer,Female,1246,Asian,Single,Exceeds,1
10-Jan-23,08-Mar-26,Enterprise Architect,TNS,Active,Full-Time,Zone A,Temporary,Involuntary,Word once speech mind.,Software Engineering,General - Sga,03-04-1978,MA,Supervisor,Male,16718,White,Single,Exceeds,1
14-Feb-20,19-Apr-20,President & CEO,PYZ,Active,Full-Time,Zone C,Part-Time,Voluntary,Attention summer we. Suffer impact imagine we.,Executive Office,Safety,31-12-1953,MA,Laborer,Male,70529,Asian,Widowed,Fully Meets,3
29-Mar-19,06-Dec-28,IT Support,EW,Active,Part-Time,Zone C,Temporary,Voluntary,Body move possible play. Relate husband Mrs.,Production       ,Project Management - Con,09-06-1967,MA,Specialist,Female,12314,Other,Married,Fully Meets,5
25-Apr-19,01-Dec-28,CIO,MSC,Active,Contract,Zone B,Temporary,Voluntary,Effort situation use necessary.,Software Engineering,Shop (Fleet),06-01-1959,MA,Administrative,Female,47635,White,Married,Fully Meets,3
26-Mar-19,20-Sep-28,Production Technician I,SVG,Active,Contract,Zone A,Full-Time,Voluntary,Out always about must with ago here.,Production       ,General - Eng,24-10-1953,MA,Administration,Male,31721,Black,Married,Needs Improvement,2
24-Mar-23,30-Mar-25,Principal Data Architect,PYZ,Active,Part-Time,Zone C,Part-Time,Retirement,Southern alone father state.,IT/IS,General - Sga,08-08-1984,MA,Electrician,Male,96913,White,Married,Fully Meets,4
01-Jul-19,14-Dec-21,Production Technician I,EW,Active,Full-Time,Zone A,Full-Time,Voluntary,Herself Mr office bed.,Production       ,Project Management - Con,08-08-1988,MA,Foreman,Male,8674,Other,Married,Fully Meets,4
03-May-23,24-Dec-23,Area Sales Manager,PYZ,Active,Part-Time,Zone A,Temporary,Voluntary,Gas place rich dog process movement along.,Sales,Project Management - Con,28-07-1945,MA,Engineer,Male,87877,Asian,Divorced,PIP,3
14-Apr-23,19-Jan-20,Network Engineer,MSC,Active,Contract,Zone B,Temporary,Unk,Deep certainly boy record.,Software Engineering,Catv,02-07-1961,MA,Coordinator,Male,94189,Black,Single,Fully Meets,3
15-Mar-21,20-Apr-19,IT Manager - Support,SVG,Leave of Absence,Part-Time,Zone B,Part-Time,Involuntary,Visit lawyer interesting.,IT/IS,Aerial,02-05-1951,MA,Electrician,Female,32302,White,Divorced,Fully Meets,3
04-May-21,04-Oct-23,Production Technician I,PYZ,Active,Full-Time,Zone C,Temporary,Involuntary,North rise until plan join.,Production       ,Shop (Fleet),29-09-1954,MA,Intern,Male,58568,Asian,Divorced,Fully Meets,3
07-Mar-19,01-Mar-24,Production Technician I,PL,Future Start,Part-Time,Zone C,Full-Time,Voluntary,Order risk think. North born would might.,Production       ,Field Operations,02-12-1974,MA,Director,Female,55701,Other,Divorced,Fully Meets,2
13-Apr-22,28-Feb-23,Production Technician I,CCDR,Leave of Absence,Contract,Zone A,Part-Time,Resignation,Everything discover represent full.,Production       ,General - Con,16-09-1954,MA,Billing,Male,56677,Other,Divorced,Fully Meets,3
28-Feb-23,20-Dec-25,Sales Manager,CCDR,Active,Contract,Zone A,Temporary,Retirement,Price card crime. Beautiful travel world treat.,Production       ,Field Operations,29-10-1964,MA,Services,Male,29481,Black,Married,Fully Meets,5
22-Aug-20,05-Aug-26,Production Technician I,CCDR,Active,Part-Time,Zone A,Temporary,Resignation,Treatment power card almost pretty sister.,Production       ,Engineers,20-05-1977,MA,Field Project Manager,Female,95832,Black,Widowed,Fully Meets,5
23-Sep-19,31-May-26,Production Technician II,PYZ,Future Start,Full-Time,Zone B,Full-Time,Involuntary,Thus whether read kitchen itself.,Production       ,Yard (Material Handling),14-10-1943,MA,Billing,Female,60443,Black,Single,Fully Meets,3
21-Sep-21,15-Oct-26,Production Technician I,MSC,Leave of Absence,Part-Time,Zone B,Full-Time,Involuntary,Account between environmental section group.,Production       ,Finance & Accounting,06-12-1946,MA,Services,Male,90329,Asian,Single,Fully Meets,4
12-Aug-19,30-Nov-23,Network Engineer,MSC,Active,Contract,Zone B,Temporary,Voluntary,Effort situation use necessary.,Executive Office,Sales & Marketing,28-04-1958,MA,Billing,Female,58317,White,Married,Fully Meets,3
09-Apr-21,20-May-25,Production Technician II,SVG,Voluntarily Terminated,Part-Time,Zone B,Temporary,Involuntary,Central baby moment benefit do.,Production       ,Yard (Material Handling),23-01-1957,MA,Electrician,Female,64098,Other,Divorced,Fully Meets,2
30-Oct-20,24-Nov-26,Area Sales Manager,MSC,Active,Contract,Zone B,Part-Time,Involuntary,Professor phone billion none very evidence.,Sales,General - Eng,01-10-1959,ND,Project Coordinator,Female,20578,Hispanic,Married,Fully Meets,2
25-Apr-21,08-May-19,Production Technician I,CCDR,Active,Part-Time,Zone A,Part-Time,Voluntary,Fact order police ability another pretty add.,Production       ,Aerial,18-02-1979,MA,Attendant,Male,63724,White,Divorced,Fully Meets,2
03-Oct-18,18-Feb-20,Software Engineer,MSC,Active,Contract,Zone C,Temporary,Retirement,Radio fight consumer senior traditional himself.,Software Engineering,Aerial,01-08-1983,MA,Accounting,Male,85955,Asian,Single,Fully Meets,1
06-Oct-21,21-Aug-26,Production Technician I,WBL,Leave of Absence,Contract,Zone A,Full-Time,Involuntary,Great relate within you. Red bill unit school.,Production       ,Engineers,18-05-1982,MA,Flagger,Female,82979,Black,Widowed,Fully Meets,3
26-Nov-22,25-Mar-25,Production Technician II,PL,Active,Contract,Zone B,Full-Time,Retirement,Part officer father last trouble field.,Production       ,Executive,05-06-1943,MA,Laborer,Male,82742,Asian,Divorced,Fully Meets,5
